route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,1,605096,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338841,45277,0,0
1,1,605097,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338826,45277,0,0
1,1,605098,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338844,45277,0,0
1,1,605099,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338845,45277,0,0
1,1,605100,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338829,45277,0,0
1,1,605101,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338831,45277,0,0
1,1,605102,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338839,45277,0,0
1,1,605103,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338834,45277,0,0
1,1,605104,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338842,45277,0,0
1,1,605105,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338843,45277,0,0
1,1,605106,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338839,45278,0,0
1,1,605107,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338834,45278,0,0
1,1,605108,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338842,45278,0,0
1,1,605109,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338843,45278,0,0
1,1,605110,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338836,45278,0,0
1,1,605111,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338837,45278,0,0
1,1,605112,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338838,45278,0,0
1,1,605113,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338833,45278,0,0
1,1,605114,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338841,45278,0,0
1,1,605115,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338826,45278,0,0
