stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
HIGBUTS,1307,N HIGH ST & BUTTLES AVE,,39.976915,-83.003575
HIGRUSS,1308,N HIGH ST & W RUSSELL ST,,39.975286,-83.00323
LIVQUAW,1879,E LIVINGSTON AVE & QUARRY RIDGE DR,,39.94309,-82.840758
LIV4THE,1910,E LIVINGSTON AVE & S 4TH ST,,39.952628,-82.994158
LIV6THE,1911,E LIVINGSTON AVE & S 6TH ST,,39.952464,-82.990578
LIVGRANE,1912,E LIVINGSTON AVE & S GRANT AVE,,39.95238,-82.988663
LIVKELW,1913,E LIVINGSTON AVE & KELTON AVE,,39.949246,-82.959852
LIVPARE,1914,E LIVINGSTON AVE & PARSONS AVE,,39.95211,-82.98277
LIVANNE,1915,E LIVINGSTON AVE & ANN ST,,39.951533,-82.980465
LIV18TE,1916,E LIVINGSTON AVE & S 18TH ST,,39.950876,-82.978123
LIVCARE,1917,E LIVINGSTON AVE & CARPENTER ST,,39.949987,-82.97577
LIV22NE,1918,E LIVINGSTON AVE & S 22ND ST,,39.949746,-82.972636
LIVCHAE,1920,E LIVINGSTON AVE & S CHAMPION AVE,,39.949637,-82.970376
LIVWILE,1921,E LIVINGSTON AVE & WILSON AVE,,39.949499,-82.967531
LIVSTUE,1922,E LIVINGSTON AVE & STUDER AVE,,39.949341,-82.964215
LIVKELE,1925,E LIVINGSTON AVE & KELTON AVE,,39.949081,-82.958999
LIVBULE,1928,E LIVINGSTON AVE & BULEN AVE,,39.948717,-82.951593
LIVRHOE,1929,E LIVINGSTON AVE & RHOADS AVE,,39.948615,-82.94953
LIVMEME,1930,E LIVINGSTON AVE & MEMORY LN N,,39.948469,-82.946794
LIVCOLE,1933,E LIVINGSTON AVE & COLLEGE AVE,,39.947926,-82.936419
LIVCASE,1935,E LIVINGSTON AVE & S CASSINGHAM RD,,39.94776,-82.93288
LIVROOE,1937,E LIVINGSTON AVE & S ROOSEVELT AVE,,39.94752,-82.928506
LIVBROE1,1940,E LIVINGSTON AVE & BROWNING AVE,,39.947193,-82.922477
LIVWELE,1941,E LIVINGSTON AVE & WELLESLEY RD,,39.947053,-82.919713
LIVKELE1,1942,E LIVINGSTON AVE & S KELLNER RD,,39.946922,-82.917413
LIVJAME,1943,E LIVINGSTON AVE & S JAMES RD,,39.946781,-82.914972
LIVZETE,1945,E LIVINGSTON AVE & ZETTLER RD,,39.946517,-82.910144
LIVBARE,1946,E LIVINGSTON AVE & BARNETT RD,,39.946312,-82.906059
LIVCUNE,1947,E LIVINGSTON AVE & CUNARD RD,,39.94606,-82.901894
LIVCOUE,1948,E LIVINGSTON AVE & COURTRIGHT RD,,39.945771,-82.896418
LIVBEEE,1949,E LIVINGSTON AVE & BEECHWOOD RD,,39.945653,-82.894211
LIVVILE,1950,E LIVINGSTON AVE & VILARDO LN,,39.945503,-82.89169
LIVYEAE,1951,E LIVINGSTON AVE & S YEARLING RD,,39.94529,-82.887862
LIVBURE,1952,E LIVINGSTON AVE & BURLINGTON AVE,,39.945022,-82.883296
LIVGRAE,1953,E LIVINGSTON AVE & GRATTAN RD,,39.944832,-82.879774
LIVHAME,1954,E LIVINGSTON AVE & S HAMILTON RD,,39.944647,-82.876709
LIVSIME,1955,E LIVINGSTON AVE & SIMPSON DR,,39.944448,-82.873164
LIVSHAE,1956,E LIVINGSTON AVE & SHADY LANE RD,,39.944362,-82.871636
